OBJECT_ID	OBJECT	TYPE_DESCRIPTION	SENSOR	NUMBER_IN_CONTAINER	V_DEPL_V	CENTER	DET_ID	DCUID
30200020004034	MOD	OB_L12S.4U	30220452014417	3	203	HPK	436249993	3406439
30200020004035	MOD	OB_L12S.4U	30220451209412	2	207.44	PISA	436250001	6159247
30200020004035	MOD	OB_L12S.4U	30220452014416	3	215	HPK	436250001	6159247
30200020004036	MOD	OB_L12S.4U	30220451209510	2	207.74	PISA	436250009	5372303
30200020004036	MOD	OB_L12S.4U	30220452014415	3	214	HPK	436250009	5372303
30200020004038	MOD	OB_L12S.4U	30220452014302	2	268	HPK	436248657	3537511
30200020004038	MOD	OB_L12S.4U	30220452014412	3	215	HPK	436248657	3537511
30200020004039	MOD	OB_L12S.4U	30220452014304	2	263	HPK	436248665	6158735
30200020004039	MOD	OB_L12S.4U	30220452014411	3	209	HPK	436248665	6158735
30200020004040	MOD	OB_L12S.4U	30220452014305	2	212	HPK	436248745	15987403
30200020004040	MOD	OB_L12S.4U	30220452014409	3	214	HPK	436248745	15987403
30200020004041	MOD	OB_L12S.4U	30220452014306	2	269	HPK	436248753	5763511
30200020004041	MOD	OB_L12S.4U	30220452014408	3	213	HPK	436248753	5763511
30200020004042	MOD	OB_L12S.4U	30220452014307	2	264	HPK	436248761	6027703
30200020004042	MOD	OB_L12S.4U	30220452014406	3	214	HPK	436248761	6027703
30200020004043	MOD	OB_L12S.4U	30220452014309	2	252	HPK	436249065	4060475
30200020004043	MOD	OB_L12S.4U	30220452014405	3	215	HPK	436249065	4060475
30200020004044	MOD	OB_L12S.4U	30220452014310	2	274	HPK	436249073	5897627
30200020004044	MOD	OB_L12S.4U	30220452014403	3	217	HPK	436249073	5897627
30200020004045	MOD	OB_L12S.4U	30220452014311	2	244	HPK	436249081	5895783
30200020004045	MOD	OB_L12S.4U	30220452014402	3	228	HPK	436249081	5895783
30200020004046	MOD	OB_L12S.4U	30220452014312	2	269	HPK	436249097	5766799
30200020004046	MOD	OB_L12S.4U	30220452014345	3	215	HPK	436249097	5766799
30200020004047	MOD	OB_L12S.4U	30220452014313	2	247	HPK	436249105	3535287
30200020004047	MOD	OB_L12S.4U	30220452014344	3	211	HPK	436249105	3535287
30200020004048	MOD	OB_L12S.4U	30220452014314	2	224.07	PISA	436249113	14023839
30200020004048	MOD	OB_L12S.4U	30220452014343	3	216	HPK	436249113	14023839
30200020004049	MOD	OB_L12S.4U	30220452014315	2	268	HPK	436249545	5634447
30200020004049	MOD	OB_L12S.4U	30220452014342	3	207	HPK	436249545	5634447
30200020004050	MOD	OB_L12S.4U	30220452014316	2	257	HPK	436249553	5895055
30200020004050	MOD	OB_L12S.4U	30220452014341	3	217	HPK	436249553	5895055
30200020004051	MOD	OB_L12S.4U	30220452014317	2	266	HPK	436249561	14020703
30200020004051	MOD	OB_L12S.4U	30220452014339	3	275	HPK	436249561	14020703
30200020004052	MOD	OB_L12S.4U	30220452014318	2	247	HPK	436233193	3863223
30200020004052	MOD	OB_L12S.4U	30220452014338	3	259	HPK	436233193	3863223
30200020004053	MOD	OB_L12S.4U	30220452014319	2	250	HPK	436249201	5504359
30200020004053	MOD	OB_L12S.4U	30220452014336	3	258	HPK	436249201	5504359
30200020004054	MOD	OB_L12S.4U	30220452014320	2	260	HPK	436249209	14283191
30200020004054	MOD	OB_L12S.4U	30220452014335	3	278	HPK	436249209	14283191
30200020004055	MOD	OB_L12S.4U	30220452014321	2	258	HPK	436250121	6156727
30200020004055	MOD	OB_L12S.4U	30220452014333	3	274	HPK	436250121	6156727
30200020004056	MOD	OB_L12S.4U	30220452014322	2	229.51	PISA	436250129	16121071
30200020004056	MOD	OB_L12S.4U	30220452014332	3	254	HPK	436250129	16121071
30200020004057	MOD	OB_L12S.4U	30220452014323	2	271	HPK	436250137	15987951
30200020004057	MOD	OB_L12S.4U	30220452014331	3	273	HPK	436250137	15987951
30200020004058	MOD	OB_L12S.4U	30220452014324	2	251	HPK	436248841	7470671
30200020004058	MOD	OB_L12S.4U	30220452014330	3	270	HPK	436248841	7470671
30200020004059	MOD	OB_L12S.4U	30220452014325	2	257	HPK	436249777	14417391
30200020004059	MOD	OB_L12S.4U	30220452014329	3	227.34	PISA	436249777	14417391
30200020004060	MOD	OB_L12S.4U	30220452014327	2	232.69	PISA	436248849	5634487
30200020004060	MOD	OB_L12S.4U	30220452014328	3	247	HPK	436248849	5634487
30200020004061	MOD	OB_L12S.4D	30220452115123	2	190.59	PERUGIA	436249101	16252427
30200020004061	MOD	OB_L12S.4D	30220452115124	3	197	HPK	436249101	16252427
30200020004062	MOD	OB_L12S.4D	30220452115119	2	135	HPK	436249109	8059507
30200020004062	MOD	OB_L12S.4D	30220452115121	3	193	HPK	436249109	8059507
30200020004063	MOD	OB_L12S.4D	30220452115108	2	258	HPK	436249541	12253671
30200020004063	MOD	OB_L12S.4D	30220452115125	3	209	HPK	436249541	12253671
30200020004064	MOD	OB_L12S.4D	30220452115109	2	232.09	PERUGIA	436249549	14087795
30200020004064	MOD	OB_L12S.4D	30220452115122	3	208	HPK	436249549	14087795
30200020004065	MOD	OB_L12S.4D	30220452115110	2	266	HPK	436249557	14548083
30200020004065	MOD	OB_L12S.4D	30220452115120	3	199.96	PERUGIA	436249557	14548083
30200020004066	MOD	OB_L12S.4D	30220452115111	2	224	HPK	436249189	8255603
30200020004066	MOD	OB_L12S.4D	30220452115118	3	231	HPK	436249189	8255603
30200020004067	MOD	OB_L12S.4D	30220452115112	2	226	HPK	436233285	3863819
30200020004067	MOD	OB_L12S.4D	30220452115117	3	274	HPK	436233285	3863819
30200020004068	MOD	OB_L12S.4D	30220452115113	2	211.35	PERUGIA	436249205	14611175
30200020004068	MOD	OB_L12S.4D	30220452115116	3	215.82	PERUGIA	436249205	14611175
30200020004069	MOD	OB_L12S.4D	30220452115114	2	236	HPK	436250117	8058227
30200020004069	MOD	OB_L12S.4D	30220452115115	3	272	HPK	436250117	8058227
30200020004070	MOD	OB_L12S.4U	30220445205323	2	200	HPK	436245605	14547639
30200020004070	MOD	OB_L12S.4U	30220445205325	3	197.895	ROCHESTER	436245605	14547639
30200020004071	MOD	OB_L12S.4U	30220450506714	2	170	HPK	436229461	5962167
30200020004071	MOD	OB_L12S.4U	30220450507013	3	197.169	ROCHESTER	436229461	5962167
30200020004072	MOD	OB_L12S.4U	30220450506716	2	170	HPK	436233481	11795355
30200020004072	MOD	OB_L12S.4U	30220450506928	3	172.962	ROCHESTER	436233481	11795355
30200020004073	MOD	OB_L12S.4U	30220450506722	2	160	HPK	436245621	5632951
30200020004073	MOD	OB_L12S.4U	30220450506926	3	190	HPK	436245621	5632951
30200020004074	MOD	OB_L12S.4U	30220450506726	2	186.737	ROCHESTER	436244869	14611895
30200020004074	MOD	OB_L12S.4U	30220450506924	3	190	HPK	436244869	14611895
30200020004075	MOD	OB_L12S.4U	30220450506731	2	190	HPK	436244877	14611355
30200020004075	MOD	OB_L12S.4U	30220450506918	3	190	HPK	436244877	14611355
30200020004076	MOD	OB_L12S.4U	30220450506916	2	174.108	ROCHESTER	436244885	11662551
30200020004076	MOD	OB_L12S.4U	30220450506917	3	190	HPK	436244885	11662551
30200020004077	MOD	OB_L12S.4U	30220445205315	2	230	HPK	436248649	6223927
30200020004077	MOD	OB_L12S.4U	30220450507004	3	205.616	ROCHESTER	436248649	6223927
30200020004078	MOD	OB_L12S.4U	30220445205316	2	230	HPK	436229189	3864247
30200020004078	MOD	OB_L12S.4U	30220450506908	3	217.231	ROCHESTER	436229189	3864247
30200020004079	MOD	OB_L12S.4U	30220445205317	2	210	HPK	436229197	4062903
30200020004079	MOD	OB_L12S.4U	30220450507029	3	222.222	ROCHESTER	436229197	4062903
30200020004080	MOD	OB_L12S.4U	30220445205318	2	220	HPK	436229205	6159543
30200020004080	MOD	OB_L12S.4U	30220450507028	3	240	HPK	436229205	6159543
30200020004081	MOD	OB_L12S.4U	30220445205319	2	220	HPK	436228613	14613663
30200020004081	MOD	OB_L12S.4U	30220450507027	3	250	HPK	436228613	14613663
30200020004082	MOD	OB_L12S.4U	30220445205320	2	220	HPK	436228621	12448983
30200020004082	MOD	OB_L12S.4U	30220450507026	3	260	HPK	436228621	12448983
30200020004083	MOD	OB_L12S.4U	30220445205321	2	220	HPK	436248857	14089375
30200020004083	MOD	OB_L12S.4U	30220450507025	3	230	HPK	436248857	14089375
30200020004084	MOD	OB_L12S.4U	30220445205322	2	220	HPK	436249129	4125623
30200020004084	MOD	OB_L12S.4U	30220450507024	3	230	HPK	436249129	4125623
30200020004085	MOD	OB_L12S.4U	30220445205324	2	210	HPK	436228629	5373583
30200020004085	MOD	OB_L12S.4U	30220450507023	3	230	HPK	436228629	5373583
30200020004086	MOD	OB_L12S.4U	30220450506715	2	210	HPK	436229221	16382667
30200020004086	MOD	OB_L12S.4U	30220450507022	3	230	HPK	436229221	16382667
30200020004087	MOD	OB_L12S.4U	30220450506717	2	214.298	ROCHESTER	436229229	5960375
30200020004087	MOD	OB_L12S.4U	30220450507021	3	230	HPK	436229229	5960375
30200020004088	MOD	OB_L12S.4U	30220450506718	2	220	HPK	436229237	5960079
30200020004088	MOD	OB_L12S.4U	30220450507020	3	230	HPK	436229237	5960079
30200020004089	MOD	OB_L12S.4U	30220450506720	2	220	HPK	436228805	14282847
30200020004089	MOD	OB_L12S.4U	30220450507019	3	220	HPK	436228805	14282847
30200020004090	MOD	OB_L12S.4U	30220450506721	2	220	HPK	436228813	4061775
30200020004090	MOD	OB_L12S.4U	30220450507018	3	230	HPK	436228813	4061775
30200020004091	MOD	OB_L12S.4U	30220450506723	2	220	HPK	436228821	14023351
30200020004091	MOD	OB_L12S.4U	30220450507017	3	230	HPK	436228821	14023351
30200020004092	MOD	OB_L12S.4U	30220450506724	2	200	HPK	436233489	13761975
30200020004092	MOD	OB_L12S.4U	30220450507016	3	230	HPK	436233489	13761975
30200020004093	MOD	OB_L12S.4U	30220450506725	2	210	HPK	436228453	14613431
30200020004093	MOD	OB_L12S.4U	30220450507015	3	230	HPK	436228453	14613431
30200020004094	MOD	OB_L12S.4U	30220450506727	2	200	HPK	436248617	5765435
30200020004094	MOD	OB_L12S.4U	30220450507014	3	230	HPK	436248617	5765435
30200020004095	MOD	OB_L12S.4U	30220450506728	2	200	HPK	436228461	5763471
30200020004095	MOD	OB_L12S.4U	30220450507012	3	230	HPK	436228461	5763471
30200020004096	MOD	OB_L12S.4U	30220450506729	2	200	HPK	436228469	3538023
30200020004096	MOD	OB_L12S.4U	30220450507011	3	220	HPK	436228469	3538023
30200020004097	MOD	OB_L12S.4U	30220450506730	2	210	HPK	436229285	5700027
30200020004097	MOD	OB_L12S.4U	30220450507010	3	230	HPK	436229285	5700027
30200020004098	MOD	OB_L12S.4U	30220450506734	2	200	HPK	436229293	14548407
30200020004098	MOD	OB_L12S.4U	30220450507009	3	230	HPK	436229293	14548407
30200020004099	MOD	OB_L12S.4U	30220450506735	2	200	HPK	436229301	14350007
30200020004099	MOD	OB_L12S.4U	30220450507008	3	230	HPK	436229301	14350007
30200020004100	MOD	OB_L12S.4U	30220450506801	2	230	HPK	436249137	14351031
30200020004100	MOD	OB_L12S.4U	30220450507007	3	230	HPK	436249137	14351031
30200020004101	MOD	OB_L12S.4U	30220450506802	2	230	HPK	436245613	15859003
30200020004101	MOD	OB_L12S.4U	30220450507006	3	230	HPK	436245613	15859003
30200020004102	MOD	OB_L12S.4U	30220450506803	2	208.731	ROCHESTER	436249145	6224783
30200020004102	MOD	OB_L12S.4U	30220450507005	3	220	HPK	436249145	6224783
30200020004103	MOD	OB_L12S.4U	30220450506804	2	230	HPK	436248777	5634999
30200020004103	MOD	OB_L12S.4U	30220450507003	3	230	HPK	436248777	5634999
30200020004104	MOD	OB_L12S.4U	30220450506805	2	230	HPK	436248785	14283979
30200020004104	MOD	OB_L12S.4U	30220450507002	3	220	HPK	436248785	14283979
30200020004105	MOD	OB_L12S.4U	30220450506806	2	230	HPK	436248793	14023607
30200020004105	MOD	OB_L12S.4U	30220450507001	3	201.93	ROCHESTER	436248793	14023607
30200020004106	MOD	OB_L12S.4U	30220450506807	2	230	HPK	436248625	11992379
30200020004106	MOD	OB_L12S.4U	30220450506932	3	220	HPK	436248625	11992379
30200020004107	MOD	OB_L12S.4U	30220450506808	2	240	HPK	436249417	14349003
30200020004107	MOD	OB_L12S.4U	30220450506931	3	200	HPK	436249417	14349003
30200020004108	MOD	OB_L12S.4U	30220450506809	2	230	HPK	436249425	12514519
30200020004108	MOD	OB_L12S.4U	30220450506930	3	220	HPK	436249425	12514519
30200020004109	MOD	OB_L12S.4U	30220450506810	2	240	HPK	436249433	16514459
30200020004109	MOD	OB_L12S.4U	30220450506929	3	200	HPK	436249433	16514459
30200020004110	MOD	OB_L12S.4U	30220450506811	2	240	HPK	436249705	5895863
30200020004110	MOD	OB_L12S.4U	30220450506927	3	210	HPK	436249705	5895863
30200020004111	MOD	OB_L12S.4U	30220450506812	2	230	HPK	436249713	14610871
30200020004111	MOD	OB_L12S.4U	30220450506925	3	200	HPK	436249713	14610871
30200020004112	MOD	OB_L12S.4U	30220450506813	2	230	HPK	436249721	4128183
30200020004112	MOD	OB_L12S.4U	30220450506923	3	220	HPK	436249721	4128183
30200020004113	MOD	OB_L12S.4U	30220450506814	2	240	HPK	436248633	5633719
30200020004113	MOD	OB_L12S.4U	30220450506922	3	210	HPK	436248633	5633719
30200020004114	MOD	OB_L12S.4U	30220450506815	2	230	HPK	436249033	3929527
30200020004114	MOD	OB_L12S.4U	30220450506921	3	220	HPK	436249033	3929527
30200020004115	MOD	OB_L12S.4U	30220450506816	2	240	HPK	436249041	14612575
30200020004115	MOD	OB_L12S.4U	30220450506920	3	200	HPK	436249041	14612575
30200020004116	MOD	OB_L12S.4U	30220450506818	2	240	HPK	436249049	12516967
30200020004116	MOD	OB_L12S.4U	30220450506919	3	200	HPK	436249049	12516967
30200020004117	MOD	OB_L12S.4U	30220450506819	2	230	HPK	436233497	4127671
30200020004117	MOD	OB_L12S.4U	30220450506915	3	220	HPK	436233497	4127671
30200020004118	MOD	OB_L12S.4U	30220450506820	2	230	HPK	436249641	5635255
30200020004118	MOD	OB_L12S.4U	30220450506914	3	200	HPK	436249641	5635255
30200020004119	MOD	OB_L12S.4U	30220450506821	2	230	HPK	436249649	12449083
30200020004119	MOD	OB_L12S.4U	30220450506913	3	200	HPK	436249649	12449083
30200020004120	MOD	OB_L12S.4U	30220450506822	2	221.664	ROCHESTER	436249657	5632031
