TECplus_7_3_2_2_2/channel003,"470341476,470341480,470341508,470341512,470341516"
TECplus_7_3_2_2_2/channel002,"470341572,470341576,470341580"
TECminus_8_2_4_2_3/channel003,"470063269,470063270,470063273,470063274,470063277,470063278"
TECminus_8_2_4_2_3/channel002,"470063332,470063336,470063340,470063344,470063348"
TOBminus_6_1_1_8/channel002,"436310052,436310060,436310068"
TIBminus_3_1_1_2/channel003,"369153124,369153128,369153132"
TIBminus_3_1_1_2/channel002,"369153108,369153112,369153116,369153140,369153144,369153148"
TOBminus_2_3_1_4/channel002,"436245381,436245382,436245389,436245390,436245397,436245398"
TOBminus_2_3_1_4/channel003,"436245385,436245386,436245393,436245394,436245401,436245402"
TECplus_8_3_1_1_3/channel003,"470345956,470345960,470345964,470345968,470345972"
TECminus_2_8_4_2_3/channel003,"470160037,470160038,470160041,470160042,470160045,470160046"
TECminus_2_8_4_2_3/channel002,"470160100,470160104,470160108,470160112,470160116"
TOBplus_2_1_2_8/channel002,"436248965,436248966,436248973,436248974,436248981,436248982"
TOBplus_2_1_2_8/channel003,"436248969,436248970,436248977,436248978,436248985,436248986"
TOBplus_4_3_1_2/channel003,"436282792,436282800,436282808"
TOBplus_4_3_1_2/channel002,"436282788,436282796,436282804"
TOBminus_3_3_2_1/channel003,"436262344,436262352,436262360"
TOBminus_3_3_2_1/channel002,"436262340,436262348,436262356"
TIBminus_3_4_1_4/channel002,"369154500,369154504,369154508,369154516,369154520,369154524"
TIBminus_3_4_1_4/channel003,"369154532,369154536,369154540,369154548,369154552,369154556"
TECplus_6_6_3_1_3/channel002,"470394533,470394534,470394537,470394538"
TECminus_1_2_3_1_3/channel002,"470065829,470065830,470065833,470065834"
TECminus_1_2_3_1_3/channel003,"470065892,470065896,470065900,470065904,470065908"
TOBplus_5_3_1_5/channel003,"436298952,436298960,436298968"
TIDminus_4_2_1_4/channel003,"402666137,402666141,402666145"
TIDminus_4_2_1_4/channel002,"402666138,402666142,402666146"
TECminus_2_5_2_2_2/channel003,"470110820,470110824,470110852,470110856,470110860"
TECminus_2_5_2_2_2/channel002,"470110916,470110920,470110924"
TECplus_6_1_2_2_2/channel002,"470308548,470308552,470308556"
TECplus_6_1_2_2_2/channel003,"470308452,470308456,470308484,470308488,470308492"
TOBplus_3_2_1_1/channel002,"436265668,436265676,436265684"
TOBplus_3_2_1_1/channel003,"436265672,436265680,436265688"
TECminus_4_3_2_2_2/channel003,"470078564,470078568,470078596,470078600,470078604"
TECminus_4_3_2_2_2/channel002,"470078660,470078664,470078668"
TIDminus_1_1_2_2/channel002,"402664718,402664722,402664726"
TOBminus_4_1_2_3/channel002,"436277764,436277772,436277780"
TOBminus_4_1_2_3/channel003,"436277768,436277776,436277784"
TIDminus_1_1_2_2/channel003,"402664717,402664721,402664725"
TOBplus_6_1_2_7/channel003,"436314440,436314448,436314456"
TOBplus_6_1_2_7/channel002,"436314436,436314444,436314452"
TOBplus_4_1_1_8/channel003,"436281768,436281776,436281784"
TOBplus_4_1_1_8/channel002,"436281764,436281772,436281780"
TIDplus_3_2_2_3/channel003,"402674821,402674825,402674865"
TIDplus_3_2_2_3/channel002,"402674822,402674826,402674866"
TECminus_4_3_1_1_3/channel002,"470082981,470082982,470082985,470082986"
TIBminus_2_1_1_5/channel003,"369136725,369136729,369136733"
TIBminus_2_1_1_5/channel002,"369136726,369136730,369136734"
TIDminus_1_1_2_1/channel003,"402664709,402664713,402664753"
TIDminus_1_1_2_1/channel002,"402664710,402664714,402664754"
TIBplus_2_4_2_2/channel003,"369142021,369142025,369142029"
TECminus_7_5_2_2_2/channel002,"470112196,470112200,470112204"
TECplus_3_3_2_2_1/channel002,"470340389,470340390"
TECplus_3_3_2_2_1/channel003,"470340421,470340422"
TECminus_1_8_3_1_3/channel002,"470164133,470164134,470164137,470164138"
TECminus_1_8_3_1_3/channel003,"470164196,470164200,470164204,470164208,470164212"
TECplus_3_9_4_2_3/channel002,"470438884,470438888,470438892,470438896,470438900"
TECplus_3_9_4_2_3/channel003,"470438821,470438822,470438825,470438826,470438829,470438830"
TIBplus_3_1_1_3/channel003,"369158196,369158200,369158204,369158212,369158216,369158220"
TIBplus_3_1_1_3/channel002,"369158164,369158168,369158172,369158180,369158184,369158188"
TECminus_4_3_1_1_3/channel003,"470083044,470083048,470083052,470083056,470083060"
