470176132	220
470176136	208.64
470176140	220
470176165	216.895
470176166	224.69
470176169	225.57
470176170	198.215
470176173	172.005
470176174	157.305
470176196	188.795
470176200	200
470176204	194.79
470176228	180.77
470176232	248.985
470176236	185.435
470176240	224.12
470176244	198.625
470176388	170
470176392	171
470176396	166
470176421	255
470176422	230
470176425	240
470176426	220
470176429	210
470176430	230
470176452	210
470176456	212.5
470176460	211
470176484	205.555
470176488	181.5
470176492	199
470176496	207.935
470176500	224
470176644	170
470176648	162
470176652	170
470176677	184.62
470176678	151.1
470176681	127.935
470176682	172.395
470176685	163.345
470176686	159.325
470176708	200
470176712	197.5
470176716	201.86
470176740	193.05
470176744	213.9
470176748	203.075
470176752	206.495
470176756	225.11
470176900	228
470176904	232
470176908	232
470176933	230
470176934	235
470176937	215.4
470176938	220
470176941	235
470176942	220
470176964	180.902
470176968	182
470176972	180.8465
470176996	210.5
470177000	212.5
470177004	207.5
470177008	224
470177012	221.5
470177156	120
470177160	149.55
470177164	120
470177189	245.76
470177190	212.3
470177193	230.56
470177194	206.385
470177197	205
470177198	191.715
470177220	59.145
470177224	134.485
470177228	121.75
470177252	190.395
470177256	257.3
470177260	167.29
470177264	247.22
470177268	174.37
470177412	224
470177416	222
470177420	170
470177445	151.805
470177446	165.5
470177449	156.765
470177450	227.04
470177453	151.56
470177454	219.595
470177476	191.5
470177480	174.215
470177484	223
470177508	130
470177512	162.11
470177516	131.5
470177520	183.735
470177524	139.195
470177668	210
470177672	220
470177676	210
470177701	205.135
470177702	191.03
470177705	192.525
470177706	196.055
470177709	211.48
470177710	155.395
470177732	225
470177736	215
470177740	215
470177764	214.125
470177768	228.11
470177772	225.615
470177776	230.59
470177780	230.63
470177924	231
470177928	220
470177932	235
470177957	215.805
470177958	231.385
470177961	224.19
470177962	223.385
470177965	248.55
470177966	210.935
470177988	232.5
470177992	189
470177996	220
470180228	210
470180232	210
470180236	179.1
470180240	160
470180261	187
470180262	189.64
470180265	184.265
470180266	185
470180292	210.5
470180296	230.5
470180300	195.5
470180304	240
470180324	169.02
470180328	174.1
470180332	160.065
470180336	164.945
470180340	168.75
470180484	150
470180488	170
470180492	122.96
470180496	160
470180517	195
470180518	210
470180521	195
470180522	200
470180548	230
470180552	240
470180556	215
470180560	220
470180580	149.58
470180584	144.9
470180588	143.705
470180592	156.385
470180596	159.59
470180740	210
470180744	150
470180748	240
470180752	200.19
470180773	236
470180774	274.5
470180777	244.5
470180778	268
470180804	215
470180808	214.5
470180812	230
470180816	221.5
470180836	235
470180840	230
470180844	240
470180848	235
470180852	235
470180996	200
470440068	233
470440072	234
470440076	234
470440101	179
470440102	205
470440105	176.5
470440106	205
470440109	183.5
470440110	205
470440132	189.2205
470440136	193
470440140	200
470440164	228.5
470440168	229.5
470440172	232
470440176	229.5
470440180	231
470442372	200
470442376	200
470442380	160
470442384	160
470442405	257
470442406	247.5
470442409	223.5
470442410	243.5
470442436	225
470442440	225
470442444	224.5
470442448	235
470442468	230
470442472	182.83
470442476	235
470442480	230
470442484	225
470442628	180.41
470442632	180
470442636	160
470442640	160
470442661	246.79
470442662	201.47
470442665	252.875
470442666	185.37
470442692	215
470442696	205
470442700	225
470442704	200
470442724	166.105
470442728	153.62
470442732	163.53
470442736	220.675
470442740	157.305
470442884	210
470442888	210
470442892	180
470442896	180
470442917	200
470442918	220
470442921	200
470442922	220
470442948	191.705
470442952	205
470442956	205
470442960	189.735
470442980	179.195
470442984	175.815
470442988	182.4
470442992	182.735
470442996	186.47
470443140	220
470443144	220
470443148	220
470443152	220
470443173	223
470443174	218.505
470443177	234.5
470443178	232.5
470443204	200
470443208	215
470443212	210
470443216	210
470443236	149.285
470443240	156.105
470443244	149.845
470443248	149.895
470443252	142.895
470443396	180
470443400	180
470443404	180
470443408	180
470443429	219.5
470443430	195
470443433	218.5
470443434	200
470443460	215.5
470443464	205
470443468	217
470443472	214
470443492	166.15
470443496	163.735
470443500	168.82
470443504	168.415
470443508	163.25
470443652	210
470443656	60
470443660	210
470443664	153.61
470443685	253.5
470443686	240
